species,common_name,category,thousand_tons_2020,actual_number?,agg_trophic,feed_eff_trophic,growth_rate_K,age_mat_years,max_size_cm,abs_fecundity,rep_freq_year,temp_range_c,pO2_min_mbar,sal_range,Ca_mg_100g,Fe_mg_100g,Se_ug_100g,Zn_mg_100g,A_ug_100g,Omega_g_100g,Protein_g_100g,c_seq,OA_buff,bioremed,structure,spatial,P_range_µmol/kg,N_range_µmol/kg,lat_range_degrees,geog_range_km2,PH_sensitivity_taxa,References,,,,
Epinephelus coioides,Orange-spotted grouper,finfish_marine,226.2,proxy for Epinephelus spp.,4,4,0.17,3.7,120,"210,161",once_year,6.6485,183.3303289,2.9905,11.8,0.412,21.3,0.779,64.6,0.187,19.7,fish,fish,fish,fish,12,1.016,24.0795,359.5,15658926.89,fish,1,,,,
Oncorhynchus kisutch,Coho salmon,finfish_marine,221.9,actual,4.2,4.2,0.2,3.1,108,"4,448",once_life,4.8815,208.734297,0.9855,31.9,1.24,161,0.543,12,1.13,19.8,fish,fish,fish,fish,0.5,1.127,13.5675,358.5,2436276.23,fish,1,,,,
Oncorhynchus mykiss,Rainbow trout,finfish_marine,220.1,actual,4.1,4.1,0.38,1.6,122,"1,597",once_life,15.685,179.5107036,4.0025,29.8,0.917,265,0.523,5.65,1.04,19.3,fish,fish,fish,fish,0.6,1.4915,24.1475,56,903878.66,fish,1,,,,
Lateolabrax japonicus,Japanese seabass,finfish_marine,196.9,actual,3.1,3.1,0.18,3.4,102,"5,546,718",once_year,18.9485,186.8665359,1.693,16.5,0.471,24.4,0.756,24.7,0.212,20.1,fish,fish,fish,fish,0,0.804,24.0795,359.5,5268051.13,fish,1,,,,
Trachinotus ovatus,Pompano,finfish_marine,160,actual,3.7,3.7,0.26,2.5,70,,,10.9405,126.9204976,5.8045,70.6,1.64,25.1,0.739,13.1,0.444,19.9,fish,fish,fish,fish,112,2.1845,12.1835,359,7840539.85,fish,1,,,,
Seriola quinqueradiata,Japanese amberjack,finfish_marine,137.1,actual,4,4,0.32,1.9,150,,,16.833,186.8665359,1.8755,52.4,1.36,37.3,0.428,17.4,0.334,18.9,fish,fish,fish,fish,40,0.9031,15.2865,77.5,925799.39,fish,1,,,,
Oreochromis niloticus,Nile tilapia,finfish_marine,107.4,actual,2,2,0.54,1.3,60,182,several_year,11.6005,183.3303289,4.5695,40.6,3.21,279,5.76,0.877,0.144,17.7,fish,fish,fish,fish,0,1.1045,11.6905,79.38398379,vhigh,fish,1,,,,
Lates calcarifer,Barramundi or Giant seaperch,finfish_marine,105.8,actual,3.8,3.8,0.13,4.5,200,"27,014,996",once_year,2.354,183.3303289,0.7725,115,1,144,0.84,7.36,0.187,19.6,fish,fish,fish,fish,112,0,0,359,7624326.87,fish,1,,,,
Sciaenops ocellatus,Red drum,finfish_marine,84.3,actual,4,4,0.46,1.4,155,"175,000,000",,4.5985,179.5107036,0.593,45.3,0.905,38.8,0.566,4.2,0.262,21.4,fish,fish,fish,fish,40,0,11.6905,221,611392.1,fish,1,,,,
Penaeus vannamei,Whiteleg shrimp,crustacean,5812.2,actual,2.5,2.5,1.514,0.54,23,"175,000",,11.119,184.1718325,2.5815,64.88877979,1.424555556,37.6089899,1.489717172,,0.16,19.38638393,crustacean,crustacean,crustacean,crustacean,112,1.08456,11.7666,26.5,322566.74,crustacean,"2, 11, 13",,,,
