species,common_name,category,thousand_tons_2020,actual_number?,agg_trophic,feed_eff_trophic,growth_rate_K,max_size_cm,abs_fecundity,rep_freq_year,temp_range_c,pO2_min_mbar,sal_range,Ca_mg_100g,Fe_mg_100g,Se_ug_100g,Zn_mg_100g,A_ug_100g,Omega_g_100g,Protein_g_100g,c_seq,OA_buff,bioremed,structure,spatial,P_range_µmol/kg,N_range_µmol/kg,lat_range_degrees,geog_range_km2,PH_sensitivity_taxa
Mytilus edulis,Blue mussel,mollusc,1108.3,proxy for Mytilidae,1.5,1.5,0.4,11,,4,9.738,107.2882101,25.7155,39.25,4.393333333,49.8925,2.19,,0.481428571,11.8,3,3,3,3,70,1.9815,12.8705,268.5,2489823.05,3
Macrobrachium nipponense,Oriental river prawn,crustacean,228.8,actual,2,2,0.82,8.6,,2,16.3485,186.8665359,2.9225,51.32638889,1.159722222,28.95642857,2.248888889,,0.095,17.42467803,2,2,2,2,0,0.892,14.234,59,1415942.1,2
Tegillarca granosa,Blood cockle,mollusc,457.9,actual,1.5,1.5,0.6,,,,18.1915,183.3303289,2.0575,88.91949704,4.257350079,42.18695,3.996211066,,0.398461538,9.943448206,3,3,3,3,70,0.769,24.0795,268.5,2489823.05,3
Macrobrachium rosenbergii,Giant river prawn,crustacean,294,actual,2.5,2.5,0.3,34,,3,7.482,183.3303289,2.819,51.32638889,1.159722222,28.95642857,2.248888889,,0.095,17.42467803,2,2,2,2,0,1.0825,11.6905,59,1415942.1,2
Procambarus clarkii,Red swamp crayfish,crustacean,2469,actual,2.5,2.5,0.23,20,,3,14.8315,107.2882101,4.928455,,,,,,,,2,2,2,2,0,1.50305,18.122,77.230552,15000000,2
Megalobrama amblycephala,Wuchang bream,finfish_inland,781.7,actual,3.3,3.3,0.06,200,,,7.6355,186.8665359,1.837,,,,,,,,1,1,1,1,0,1.0825,13.5965,15.79735,100000,1
Pangasianodon hypophthalmus,Striped catfish,finfish_inland,2520.4,actual,3.1,3.1,,130,,2,9.0887,188.8155625,5.2865,80.1,0.463,134,0.6,8.53,0.245,15.8,1,1,1,1,1,0.769,4.7295,58.51465,100000,1
Larimichthys croceus,Large yellow croaker,finfish_marine,254.1,actual,3.7,3.7,0.29,80,,,16.275645,186.8665359,0.6699,20.5,0.245,16.5,0.555,13.9,0.573,18.9,1,1,1,1,0,0.3645,0.5695,18.032467,100000,1
Oreochromis niloticus,Nile tilapia,finfish_inland,4407.2,actual,2,2,0.54,60,1500,3,11.6005,183.3303289,4.5695,40.6,3.21,279,5.76,0.877,0.144,17.7,1,1,1,1,0,1.1045,11.6905,79.38398379,15000000,1
Oreochromis niloticus,Nile tilapia,finfish_marine,107.4,actual,2,2,0.54,60,1500,3,11.6005,183.3303289,4.5695,40.6,3.21,279,5.76,0.877,0.144,17.7,1,1,1,1,0,1.1045,11.6905,79.38398379,15000000,1
Penaeus vannamei,Whiteleg shrimp,crustacean,5812.2,actual,2.5,2.5,1.514,23,,,11.119,184.1718325,2.5815,64.88877979,1.424555556,37.6089899,1.489717172,,0.16,19.38638393,2,2,2,2,112,1.08456,11.7666,26.5,322566.74,2
Labeo rohita,Roho labeo,finfish_inland,2484.8,actual,2.2,2.2,0.28,200,2984024,2,2.7045,215.053648,2.9375,101,0.621,366,0.912,3.39,0.188,16.7,1,1,1,1,0.6,0.769,2.103,24.663522,100000,1
Eriocheir sinensis,Chinese mitten crab,crustacean,775.9,actual,2.85,2.85,0.009,7.5,,3,8.805,107.2882101,25.663,,,,,,,,2,2,2,2,56,1.9815,8.5915,35.60327937,7000000,2
